456.0000	2464.0000
504.1351	2477.5171
550.3090	2496.7100
596.9954	2514.6189
644.8699	2529.0554
693.4445	2540.9102
742.7081	2549.4763
792.6411	2552.0945
842.4675	2547.9346
892.1500	2542.3342
941.9686	2538.0823
991.8499	2534.5847
1041.7496	2531.3755
1091.6478	2528.1194
1141.5282	2524.7297
1191.4015	2521.1819
1241.2568	2517.3682
1291.0801	2513.1650
1340.8601	2508.4854
1390.5956	2503.3435
1440.2804	2497.7712
1489.9214	2491.7573
1539.4908	2485.2153
1588.9574	2477.9297
1638.2825	2469.7288
1687.4425	2460.5911
1736.4666	2450.7388
1785.3889	2440.3999
1834.2383	2429.7466
1883.0088	2418.7429
1931.5879	2406.9114
1979.8248	2393.7446
2027.5631	2378.8613
2074.4724	2361.5576
2119.1570	2339.1343
2157.1504	2306.6296
2186.8020	2266.3718
2195.9419	2217.2119
2192.3406	2167.3403
2186.5483	2117.6794
2178.7666	2068.2900
2170.6079	2018.9587
2164.9287	1969.2844
2164.6716	1919.2849
2167.5522	1869.3718
2167.1589	1819.3687
2163.1165	1769.5323
