156.0000	2476.0000
206.0011	2476.5076
255.9993	2477.0415
305.9972	2477.6296
355.9936	2478.2979
405.9873	2479.0735
455.9761	2479.9844
505.9640	2481.0583
555.9476	2482.3225
605.9258	2483.8047
655.8929	2485.5332
705.8550	2487.5308
755.7981	2489.8152
805.7363	2492.3960
855.6516	2495.2749
905.5520	2498.4526
955.4363	2501.9209
1005.2958	2505.6694
1055.1317	2509.6829
1104.9468	2513.9465
1154.7410	2518.4429
1204.5242	2523.1243
1254.2914	2527.9233
1304.0553	2532.7849
1353.8182	2537.6580
1403.5846	2542.4912
1453.3634	2547.2307
1503.1519	2551.8149
1552.9646	2556.1675
1602.8076	2560.1877
1652.6841	2563.7207
1702.6084	2566.5300
1752.5840	2568.1609
1802.5785	2567.8726
1852.5057	2565.2595
1902.3102	2560.8857
1952.0879	2556.2183
2001.3364	2547.6038
2047.3052	2527.9312
2086.6582	2497.0913
2120.2251	2460.0405
2141.8103	2414.9412
2154.5347	2366.5825
2164.4097	2317.5664
2167.7542	2267.6804
